,stn,TC,sum,lat,lon
130,GP15_3_8,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,47.00009,-151.99986
131,GP15_3_9,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,44.50019,-151.99984
132,GP15_3_10,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,41.99998,-151.99985
133,GP15_3_12,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,37.00007,-152.00017
134,GP15_3_14,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,32.00006,-151.99991
135,GP15_3_15,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,29.5003,-152.0005
136,GP15_3_16,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,26.99984,-152.00004
137,GP15_3_18,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,22.00015,-152.00005
138,GP15_3_18-3,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,19.68113,-154.51301
139,GP15_3_19,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,17.49998,-152.00007
140,GP15_3_21,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,11.00013,-152.00001
141,GP15_3_23,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,7.52686,-152.01638
142,GP15_3_25,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,5.01547,-152.333
143,GP15_3_27,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,2.49982,-152.01363
144,GP15_3_29,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,0.032,-152.01378
145,GP15_3_31,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-2.50475,-152.00003
146,GP15_3_33,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-4.99972,-152.0347
147,GP15_3_35,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-10.49975,-151.99948
148,GP15_3_37,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-14.9986,-151.99808
149,GP15_3_39,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-19.99443,-152.09907
150,GP17-OCE_3_1,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-19.9999,-152.0003
151,GP17-OCE_3_3,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-24.9996,-151.25
152,GP17-OCE_3_6,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-32.5,-150.0012
153,GP17-OCE_3_8,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-37.5001,-149.2803
154,GP17-OCE_3_10,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-42.5003,-148.4706
155,GP17-OCE_3_12,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-47.5,-147.5199
156,GP17-OCE_3_14,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-52.312,-146.4033
157,GP17-OCE_3_16,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-54.9995,-145.6559
158,GP17-OCE_3_18,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-56.1052,-145.3377
159,GP17-OCE_3_20,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-57.6014,-144.8581
160,GP17-OCE_3_22,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-59.9971,-143.9992
161,GP17-OCE_3_25,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-66.9998,-134.9994
162,GP17-OCE_3_27,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-67.0003,-115.0079
163,GP17-OCE_3_32,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",9.355995121613934e-06,-59.9984,-82.4956
164,GP17-OCE_3_33,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",9.310637427910538e-06,-57.0001,-78.9996
165,GP17-OCE_3_35,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",1.9934529080740932e-05,-54.3512,-76.5493
166,GP17-OCE_3_37,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",7.102780320478301e-06,-53.4991,-75.751
167,GP17-OCE_3_38,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,-52.7019,-75.0972
168,GP15_3_3,"1.A.1.10.4,1.A.1.11.1,1.A.1.11.20,1.A.1.11.21",0.0,55.08013,-155.72003
169,GP15_3_4,"1.A.1.10.4,1.A.1.11.1,1.A.1.11.20,1.A.1.11.21",0.0,55.07994,-155.72033
170,GP15_3_5,"1.A.1.10.4,1.A.1.11.1,1.A.1.11.20,1.A.1.11.21",0.0,53.68004,-153.79988
171,GP15_3_6,"1.A.1.10.4,1.A.1.11.1,1.A.1.11.20,1.A.1.11.21",0.0,52.00014,-151.99978
172,GP15_3_8,"1.A.1.10.4,1.A.1.11.1,1.A.1.11.20,1.A.1.11.21",0.0,47.00009,-151.99986
173,GP15_3_9,"1.A.1.10.4,1.A.1.11.1,1.A.1.11.20,1.A.1.11.21",0.0,44.50019,-151.99984
174,GP15_3_10,"1.A.1.10.4,1.A.1.11.1,1.A.1.11.20,1.A.1.11.21",0.0,41.99998,-151.99985
175,GP15_3_12,"1.A.1.10.4,1.A.1.11.1,1.A.1.11.20,1.A.1.11.21",0.0,37.00007,-152.00017
