,stn,module,sum,lat,lon
262,GP15_3_16,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",7.37735284766802e-05,26.99984,-152.00004
263,GP15_3_18,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.0,22.00015,-152.00005
264,GP15_3_18-3,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",2.1470588393237012e-05,19.68113,-154.51301
265,GP15_3_19,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",4.250796521733195e-05,17.49998,-152.00007
266,GP15_3_21,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",2.320599997242082e-05,11.00013,-152.00001
267,GP15_3_23,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",5.3482981380390134e-05,7.52686,-152.01638
268,GP15_3_25,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",4.3554395829565594e-05,5.01547,-152.333
269,GP15_3_27,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",7.261790700333104e-05,2.49982,-152.01363
270,GP15_3_29,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.0,0.032,-152.01378
271,GP15_3_31,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",7.294404392482648e-05,-2.50475,-152.00003
272,GP15_3_33,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.00010870428907624266,-4.99972,-152.0347
273,GP15_3_35,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",2.2584037329845628e-05,-10.49975,-151.99948
274,GP15_3_37,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.00018539903589718588,-14.9986,-151.99808
275,GP15_3_39,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.0,-19.99443,-152.09907
276,GP17-OCE_3_1,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",4.8018003648734215e-05,-19.9999,-152.0003
277,GP17-OCE_3_3,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",8.070403841582214e-05,-24.9996,-151.25
278,GP17-OCE_3_6,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.00010532117523184957,-32.5,-150.0012
279,GP17-OCE_3_8,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",3.63280634477158e-05,-37.5001,-149.2803
280,GP17-OCE_3_10,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",5.714906125078303e-05,-42.5003,-148.4706
281,GP17-OCE_3_12,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",4.524370939477228e-05,-47.5,-147.5199
282,GP17-OCE_3_14,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",4.008751120990846e-05,-52.312,-146.4033
283,GP17-OCE_3_16,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.0,-54.9995,-145.6559
